publishedAt,title,description,url,sentiment_score
2025-08-05T17:10:35Z,Apple releases developer beta 5 for visionOS 26,"Alongside the new macOS 26 developer beta 5, Apple has also pushed out the fifth developer beta of visionOS 26, and the rest of its operating systems.



 more…",https://9to5mac.com/2025/08/05/apple-releases-developer-beta-5-for-visionos-26/,0.0
2025-08-05T17:10:01Z,iPhone 17 series rumored to be unveiled on September 9,Information obtained from mobile carriers indicates that the iPhone 17 series will be unveiled around the same time as the iPhone 16 last year. Read more...,https://www.neowin.net/news/iphone-17-series-rumored-to-be-unveiled-on-september-9/,0.0
2025-08-05T17:10:00Z,"macOS Tahoe 26 developer beta 5 is out, here’s what’s new","Apple just released a fresh batch of developer betas, including the latest test build of macOS 26 Tahoe. Here are the details.



 more…",https://9to5mac.com/2025/08/05/macos-tahoe-26-developer-beta-5-is-out-heres-whats-new/,0.3182
2025-08-05T17:09:45Z,Apple Seeds Fifth Beta of macOS Tahoe to Developers,"Apple today provided developers with the fifth beta of macOS Tahoe 26 for testing purposes, with the update coming two weeks after the fourth beta.





Registered developers can download the new beta software through the System Settings app.



macOS Tahoe f…",https://www.macrumors.com/2025/08/05/apple-seeds-macos-tahoe-beta-5-to-developers/,0.0
2025-08-05T17:08:56Z,tvOS 26 beta 5 now available for Apple TV 4K,"tvOS 26 beta 5 is now available for developers, the latest version of Apple’s forthcoming software update for Apple TV devices.",https://9to5mac.com/2025/08/05/tvos-26-beta-5-now-available-for-apple-tv-4k/,0.0
2025-08-05T17:04:19Z,Adam Scott set the record straight on ‘Boy Meets World’ beef with Rider Strong,An awkward moment has strained relations between the two stars for years,https://www.the-independent.com/arts-entertainment/tv/news/adam-scott-rider-strong-boy-meets-world-feud-b2802405.html,-0.5106
2025-08-05T17:03:46Z,FOX One streaming service gets launch date and pricing,"Earlier this year, we told you about plans for a standalone streaming service from FOX with a former Apple TV+ veteran at the helm. As of today, FOX has announced pricing and the launch date for its direct to consumers subscription video service.



 more…",https://9to5mac.com/2025/08/05/fox-one-streaming-service-gets-launch-date-and-pricing/,0.0
2025-08-05T17:03:38Z,Apple Launches Early Preview of ChatGPT-Like Support Assistant,"We've been seeing signs of an upcoming chatbot-based support feature in the Apple Support app, and it turns out it's already in testing. Some iPhone users have access to an early preview of the feature.





In the Apple Support app, the Support Assistant ear…",https://www.macrumors.com/2025/08/05/apple-support-assistant-early-preview/,0.8689
2025-08-05T17:02:00Z,"Apple Seeds Fifth watchOS 26, tvOS 26, and visionOS 26 Developer Betas","Apple today provided developers with the fifth betas of watchOS 26, tvOS 26, and visionOS 26 for testing purposes, with the betas coming two weeks after the fourth betas were released.





The software updates can be downloaded through the Settings app on ea…",https://www.macrumors.com/2025/08/05/apple-fifth-developer-beta-watchos-26/,0.0
2025-08-05T17:00:14Z,"iPhone 17 Pro leaks — with special guest, Stephen Hackett [CultCast #710]","This week on Cult of Mac’s podcast: Stephen Hackett joins Leander and Griffin to talk all about a big week of iPhone 17 Pro leaks. We have a camera rumor that’s absolutely bananas, models of the new colors — and a spy shot out in public? Also: tips on customi…",https://www.cultofmac.com/news/cultcast-710,0.0
2025-08-05T17:00:03Z,Tired of Price Hikes? Here's How to Cancel Your Spotify Subscription,Users are feeling the crunch as Spotify raises prices again.,https://www.cnet.com/tech/services-and-software/tired-of-price-hikes-heres-how-to-cancel-your-spotify-subscription/,0.128
2025-08-05T17:00:00Z,OpenAI has finally released open-weight language models,OpenAI has finally released its first open-weight large language models since 2019’s GPT-2. These new “gpt-oss” models are available in two different sizes and score similarly to the company’s o3-mini and o4-mini models on several benchmarks. Unlike the model…,https://www.technologyreview.com/2025/08/05/1121092/openai-has-finally-released-open-weight-language-models/,0.0
2025-08-05T17:00:00Z,Your Smartwatch Might Be Watching You. This Study Shows Which Ones Are Worst,"A new study ranks 17 popular wearable brands by how they handle your personal data. Some performed well, others failed to protect users' privacy.",https://www.nextpit.com/news/your-smartwatch-might-be-watching-you-study-shows-which-are-worst,0.4939
2025-08-05T16:57:34Z,Liam Neeson Sells His NYC Penthouse Amid Romance With Pamela Anderson,"Liam Neeson is saying goodbye to his New York City penthouse. The Naked Gun actor has sold his property in the Big Apple for $10.3 million, Us Weekly confirmed on Tuesday, August 5. (The New York Post was first to report the news.) Matthew Coleman of Coleman …",https://www.usmagazine.com/celebrity-news/news/liam-neeson-sells-nyc-penthouse-amid-pamela-anderson-romance/#article,-0.34
2025-08-05T16:56:27Z,MLS prepares for biggest transfer in its history with Son Heung-min to LAFC: A signing with a knock-on effect,"Major League Soccer has just made a statement. Son Heung-min&apos;s move to LAFC is not only surprising, but also historic. The South Korean attacker, one of the most respected fig",https://www.marca.com/en/football/mls/2025/08/05/689235db268e3e0c798b45d2.html,-0.2186
2025-08-05T16:56:26Z,Colleen Hoover's Regretting You Comes to Life in New Trailer,"You won’t regret watching this trailer.
 It’s an exciting day for fans of Colleen Hoover, as the trailer for the film adaptation of her novel Regretting You—which sees stars McKenna Grace, Mason...",https://www.eonline.com/news/1420769/colleen-hoovers-regretting-you-trailer,0.4215
2025-08-05T16:56:01Z,Save 58% on a lifetime subscription to Luminar Mobile for iOS,"Your all-in-one, on-the-go photo editor and creative companion for iPhone, iPad, and Vision Pro. Explore powerful AI-driven tools and an interactive interface. Read more...",https://www.neowin.net/deals/save-58-on-a-lifetime-subscription-to-luminar-mobile-for-ios/,0.7717
2025-08-05T16:55:03Z,"Apple MacBook Air M4 13.6"" Laptop (2025) for $800 + free shipping","It's $199 under what you'd pay at Apple direct. Buy Now at Costco 
 Features
 <ul> <li>13.6"" Liquid Retina display</li> <li>10-core Apple M4 chip</li> <li>16GB RAM, 256GB SSD</li> <li>up to 18 hours battery life</li> <li>Model: MW123LL/A</li> </ul>",https://www.dealnews.com/products/Apple/Apple-Mac-Book-Air-M4-13-6-Laptop-2025/489394.html,-0.1027
2025-08-05T16:53:47Z,Pretty Much Pop #202: 50-Year-Old Jaws Busts Our Block,"Purported the first summer blockbuster, Jaws has now hit 50 years, and so we discuss this wonderful early Spielberg film, its ill-conceived sequels, some of the making-of docs, and the legacy of shark/big carnivore films that it spawned. Is the film as flawle…",https://prettymuchpop.com/2025/08/05/pmp202-jaws/,0.851
2025-08-05T16:51:00Z,Next-gen Apple TV 4K set to launch this year with significant upgrades,"The current Apple TV 4K is now almost three years old, and a new model is finally on the way. A source suggests that Apple's set-top box will receive a successor before the end of the year, one that is expected to feature a number of significant improvements.",https://www.notebookcheck.net/Next-gen-Apple-TV-4K-set-to-launch-this-year-with-significant-upgrades.1080092.0.html,0.6486
2025-08-05T16:49:40Z,"Apple Watch Ultra 2 hits lowest price, $130 off","The Apple Watch Ultra 2 (GPS + Cellular, 49mm) is now available for an unprecedented $649.99, down from its standard $779 — a 17% discount…
The post Apple Watch Ultra 2 hits lowest price, $130 off appeared first on MacDailyNews.",https://macdailynews.com/2025/08/05/apple-watch-ultra-2-hits-lowest-price-130-off/,-0.3818
2025-08-05T16:45:26Z,THE NAKED GUN Stars Pamela Anderson and Liam Neeson on WATCH WHAT HAPPENS LIVE WITH ANDY COHEN,The Naked Gun stars and newly minted favorite celebrity couple Pamela Anderson and Liam Neeson came to Andy Cohen’s clubhouse to act like a couple of giggling teenagers in love and to dress like every straight couple we ever knew.   We’re not actually mad at …,https://tomandlorenzo.com/2025/08/the-naked-gun-stars-pamela-anderson-and-liam-neeson-on-watch-what-happens-live-with-andy-cohen/,0.9416
2025-08-05T16:45:00Z,"iPhone 17 Event Date Might Have Leaked, And It's Happening Soon","A new rumor suggests Apple's iPhone 17 event will take place on Tuesday, September 9, where we'll get our first official look at the iPhone 17 Air.",https://www.bgr.com/1931705/iphone-17-event-date-leaked-september/,0.0
2025-08-05T16:44:58Z,Elon Musk Called Out by Bill Maher,The podcast host previously accused the Tesla CEO of having a drug problem.,https://www.newsweek.com/bill-maher-calls-out-elon-musk-birth-rate-2109085,-0.5994
2025-08-05T16:42:39Z,Show HN: What 3 Words for Phone Number Sharing in Phone-Free Spaces,"Article URL: https://www.mayer.cool/mellow-pages/
Comments URL: https://news.ycombinator.com/item?id=44800431
Points: 1
# Comments: 1",https://www.mayer.cool/mellow-pages/,0.0
2025-08-05T16:40:59Z,Trump Teases Tariffs on Foreign Chips in the 'Next Week or So',"The policy will no doubt raise concerns about increased costs for PC processors and a wide variety of electronics that use foreign-made chips.
President Trump hasn’t forgotten about tariffing foreign chips.In an interview with CNBC, Trump indicated he’ll intr…",https://me.pcmag.com/en/processors/31531/trump-teases-tariffs-on-foreign-chips-in-the-next-week-or-so,0.3204
2025-08-05T16:40:59Z,Trump Teases Tariffs on Foreign Chips in the 'Next Week or So',"The policy will no doubt raise concerns about increased costs for PC processors and a wide variety of electronics that use foreign-made chips.
President Trump hasn’t forgotten about tariffing foreign chips.In an interview with CNBC, Trump indicated he’ll intr…",https://uk.pcmag.com/processors/159423/trump-teases-tariffs-on-foreign-chips-in-the-next-week-or-so,0.3204
2025-08-05T16:39:48Z,Grow A Garden Prismatic Recipes Guide,"A Grow A Garden Prismatic recipes guide, with different recipes required to create the rarest tier of foods.",https://www.droidgamers.com/guides/grow-a-garden-prismatic-recipes-guide/,0.2732
2025-08-05T16:35:59Z,Apple TV+ Reveals the Trailer for Third Season of the Gripping Sci-Fi Drama ‘Invasion’ that returns later this month,"Today, Apple TV+ debuted the trailer for the third season of “Invasion,” the expansive sci-fi drama series from Academy Award-nominated and two-time Emmy Award-nominated producer Simon Kinberg and producer David Weil.",https://www.patentlyapple.com/2025/08/apple-tv-reveals-the-trailer-for-third-season-of-the-gripping-sci-fi-drama-invasion-that-returns-later-this-month.html,0.0
2025-08-05T16:34:41Z,AstraZeneca’s CFO On The Company’s Bet To Increase Its U.S. Business,Today’s Forbes CFO newsletter focuses on Aradhana Sarin’s journey from treating patients to becoming what she calls a transformational leader at the pharmaceutical giant.,https://www.forbes.com/sites/cfo/2025/08/05/astrazenecas-cfo-on-the-companys-bet-to-increase-its-us-business/,0.0
2025-08-05T16:34:10Z,Adam Scott set the record straight on ‘Boy Meets World’ beef with Rider Strong,An awkward moment has strained relations between the two stars for years,https://www.the-independent.com/arts-entertainment/adam-scott-rider-strong-boy-meets-world-feud-b2802349.html,-0.5106
2025-08-05T16:33:00Z,Walmart Deals of the Day: Grab Apple’s Top Earbuds While They’re $80 Off,"Plus, save $100 on a budget-friendly Anker robot vacuum and pick up an electric Greenworks lawn mower for 38% off.",https://www.cnet.com/deals/walmart-deals-of-the-day-august-5/,0.4939
2025-08-05T16:30:47Z,Original-Owner 2021 Dodge Challenger SRT Hellcat Redeye Widebody,"This 2021 Dodge Challenger SRT Hellcat Redeye was purchased new by the seller, and it is equipped with the Plus, Laguna Leather, and Painted Satin Black Graphics packages as well as the Driver Convenience Group, which together provided HID Air-Catcher headlam…",https://bringatrailer.com/listing/2021-dodge-challenger-srt-hellcat-redeye/,0.1197
2025-08-05T16:30:42Z,How to use the new Wrist Flick gesture on Apple Watch,Learn about the new Wrist Flick gesture in watchOS 26 to silence calls and dismiss alerts by rotating your wrist when you can’t touch screen.,https://www.idownloadblog.com/2025/08/05/wrist-flick-gesture-apple-watch-tutorial/,0.0
2025-08-05T16:30:00Z,7 Shows Like ‘The Hunting Wives’ If You’re In The Mood For More Well-To-Do Women Scandalizing The Suburbs,These soapy small town dramas are perfect for The Hunting Wives fanatics.,https://decider.com/2025/08/05/7-shows-like-the-hunting-wives/,0.5719
2025-08-05T16:28:19Z,Meet the NYC artist turning Manhattan’s streets into viral masterpieces: ‘A lot of people know me now’,"For his craft, New York City is the only canvas big enough.",https://nypost.com/2025/08/05/lifestyle/meet-the-nyc-artist-turning-manhattans-streets-into-viral-masterpieces-a-lot-of-people-know-me-now/,0.0
2025-08-05T16:27:53Z,Jeffrey Melvin: City Of Colorado Springs Agrees To $3.2 Settlement 7 Years After Black Man Tased To Death,"Jeffrey Melvin’s family reaches a $3.2 million civil rights lawsuit settlement with the city of Colorado after his 2018 taser death
The post Jeffrey Melvin: City Of Colorado Springs Agrees To $3.2 Settlement 7 Years After Black Man Tased To Death appeared fir…",https://bossip.com/3698029/jeffrey-melvin-family-3-2-million-settlement-with-colorado-springs/,-0.8271
2025-08-05T16:27:03Z,Fantasy Football: Are we overlooking Tank Bigsby as potential sleeper for Jaguars?,Matt Harmon and Ray Garvin break down why Tank Bigsby is being overlooked as a fantasy football option to lead the Jaguars' backfield this season.,https://sports.yahoo.com/fantasy/article/fantasy-football-are-we-overlooking-tank-bigsby-as-potential-sleeper-for-jaguars-162703527.html,-0.0258
2025-08-05T16:26:00Z,ClickFix Malware Campaign Exploits CAPTCHAs to Spread Cross-Platform Infections,"A combination of propagation methods, narrative sophistication, and evasion techniques enabled the social engineering tactic known as ClickFix to take off the way it did over the past year, according to new findings from Guardio Labs.
""Like a real-world virus…",https://thehackernews.com/2025/08/clickfix-malware-campaign-exploits.html,0.3612
2025-08-05T16:25:53Z,Craig-Hallum Lifts Price Objective on Qorvo (QRVO) Stock,"Qorvo, Inc. (NASDAQ:QRVO) is one of the Most Undervalued Semiconductor Stocks to Buy According to Analysts. On July 30, Craig-Hallum analyst Anthony Stoss...",https://finance.yahoo.com/news/craig-hallum-lifts-price-objective-162553147.html,0.0
2025-08-05T16:25:02Z,Don’t Panic on Nasdaq Dips: Leverage Seasonal Trends for Smarter Trades,"Are you misreading the Nasdaq’s August dip? Seasonal data shows a consistent rally into mid-September, despite early weakness. Rethink your approach with...",https://www.barchart.com/story/news/33893340/dont-panic-on-nasdaq-dips-leverage-seasonal-trends-for-smarter-trades,0.3252
2025-08-05T16:21:46Z,Samsung has a new name for its foldable screens,Samsung has a new designation for its display tech,https://www.androidpolice.com/samsungs-folding-screens-have-a-new-name/,0.0
2025-08-05T16:21:44Z,David Pogue’s new book: 50 years of Apple ↦,"Longtime Macworld and New York Times columnist and prolific author David Pogue has a new project: a 600-page book about Apple’s history:

 In time for Apple’s 50th anniversary, “CBS Sunday Morning” correspondent David Pogue tells the iconic company’s entire l…",https://sixcolors.com/link/2025/08/david-pogues-new-book-50-years-of-apple/,0.0
2025-08-05T16:20:49Z,Revealed: Titan submersible company used intimidation to silence warnings before tragedy,"A U.S. Coast Guard report reveals OceanGate's Titan submersible implosion was preventable, blaming flawed design, safety oversights, and a toxic workplace. The company allegedly suppressed safety concerns, and the real-time monitoring system failed. Investiga…",https://economictimes.indiatimes.com/news/international/us/revealed-titan-submersible-company-used-intimidation-to-silence-warnings-before-tragedy/articleshow/123121954.cms,-0.6124
2025-08-05T16:17:50Z,"Google's new Pixel Buds, Pixel Watch 4, and Pixel 10 Pro Fold might arrive later than expected","Made By Google 2025 is just around the corner, but some of the tech launching from it might be further away than we had realized.",https://www.techradar.com/phones/google-pixel-phones/googles-new-pixel-buds-pixel-watch-4-and-pixel-10-pro-fold-might-arrive-later-than-expected,0.0
2025-08-05T16:16:07Z,Employees Arrested Over Alleged Theft of Chip Tech for Apple A20 Chip,"Several current and former TSMC employees have been accused of stealing proprietary information related to the company's 2-nanometer chip process, which is expected to debut in Apple's A20 chip for the iPhone 18 lineup (via the Financial Times).





TSMC is …",https://www.macrumors.com/2025/08/05/alleged-theft-of-chip-tech-for-a20-chip/,-0.7096
2025-08-05T16:16:01Z,Fresh evidence suggest new Apple TV hardware may be coming later this year,A fresh report suggests that the new Apple TV hardware is on track to see the light of day later this year. Read more...,https://www.neowin.net/news/fresh-evidence-suggest-new-apple-tv-hardware-may-be-coming-later-this-year/,0.3182
2025-08-05T16:13:50Z,apple-appstore-metadata-extractor 0.1.8,Extract and monitor metadata from Apple App Store applications,https://pypi.org/project/apple-appstore-metadata-extractor/0.1.8/,0.0
2025-08-05T16:13:43Z,Apple iPhone 17 Event Likely Scheduled for September 9,"Apple plans to announce the iPhone 17 lineup on Tuesday, September 9. Internal information from German mobile carriers points to that date, which fits Apple's usual schedule for its annual product event during the second full week of September.



If the date…",https://www.macobserver.com/news/apple-iphone-17-event-likely-scheduled-for-september-9/,0.0
2025-08-05T16:11:00Z,Emmys Shake-Up: Beyoncé & ‘SNL50’ Go Primetime As TV Academy Adds Live Variety Special Category To Main Telecast,EXCLUSIVE: One of the more intriguing Emmy battles this year is Beyoncé going head-to-head with Saturday Night Live’s celeb-filled 50th anniversary special. Netflix’s Beyoncé Bowl and SNL 50: The Anniversary are battling each other in the Outstanding Variety …,http://deadline.com/2025/08/emmys-beyonce-snl50-live-variety-special-primetime-1236478660/,0.6084
2025-08-05T16:09:39Z,"If the AI Bubble Pops, It Could Now Take the Entire Economy With It","AI companies are pouring so much money into AI, it may be propping up the entire US economy, experts warn. As investor Paul Kedrosky told the Wall Street Journal, spending on AI infrastructure has already eclipsed spending on telecom and internet infrastructu…",https://futurism.com/ai-bubble-pops-entire-economy,-0.1027
2025-08-05T16:08:49Z,8/16/25: BART “Under the Stars” $5 Family Outdoor Movie Night (Concord) - $5,"BART invites you to join us beneath the big Bay Area sky for a family movie night on Saturday, August 16, at Concord Station.
We’re transforming the station parking lot into a camp-themed movie theatre. To kick things off, we’ll screen never-before-seen foota…",https://sf.funcheap.com/bart-stars-5-family-outdoor-movie-night-concord/,0.296
2025-08-05T16:05:00Z,"Go, go, go! Tapo’s already-affordable HomeKit Video Doorbell Mini is down to just $35 right now (Reg. $60)","Tapo HomeKit Video Doorbell Mini



Buy for $35 (Reg. $60)














What we love




I added a HomeKit-friendly doorbell to my smart home a year or so ago and I must say, I think the Apple Home app does it better than anyone else. I’ve used all the pl…",http://9to5toys.com/2025/08/05/tapo-homekit-video-doorbell-mini-2/,0.8689
2025-08-05T16:04:02Z,apple-appstore-metadata-extractor 0.1.7,Extract and monitor metadata from Apple App Store applications,https://pypi.org/project/apple-appstore-metadata-extractor/0.1.7/,0.0
2025-08-05T16:00:39Z,Walmart Ad Deals: 8/4-8/10,"Here is a list of the deals from the current Walmart ad! Get good deals on Sargento cheese, Dr. Brown's infant formula, and more. For Walmart cash deals, you’ll be able to use your earnings on your very next Walmart purchase. You can earn them on in-store and…",https://www.southernsavers.com/walmart-ad-deals-84-810-2/,0.4926
2025-08-05T16:00:39Z,"Jim Cramer on Apple: “Own it, Don’t Trade It”","In This Article:
Apple Inc. (NASDAQ:AAPL) is one of the stocks that Jim Cramer spoke about. During the episode Cramer discussed the company’s earnings and he commented:
“Now, we also heard from Apple, whose sales and earnings came in substantially better than…",https://biztoc.com/x/6b0bb97421ac22dd,0.4927
2025-08-05T16:00:30Z,"Smartish Wallflower combines iPhone finger loop, suction mount and kickstand","The Smartish Wallflower magnetically attaches to your iPhone, where it’s ready to do three important jobs.
(via Cult of Mac - Your source for the latest Apple news, rumors, analysis, reviews, how-tos and deals.)",https://www.cultofmac.com/news/smartish-wallflower,0.5106
