timestamp,open,high,low,close,volume
2025-04-30,209.3000,213.5800,206.6705,212.5000,52286454
2025-04-29,208.6930,212.2400,208.3700,211.2100,36827633
2025-04-28,210.0000,211.5000,207.4600,210.1400,38743074
2025-04-25,206.3650,209.7500,206.2000,209.2800,38222258
2025-04-24,204.8900,208.8299,202.9400,208.3700,47310989
2025-04-23,206.0000,208.0000,202.7990,204.6000,52929165
2025-04-22,196.1200,201.5900,195.9700,199.7400,52976371
2025-04-21,193.2650,193.8000,189.8112,193.1600,46742537
2025-04-17,197.2000,198.8335,194.4200,196.9800,52164675
2025-04-16,198.3600,200.7000,192.3700,194.2700,59732423
2025-04-15,201.8550,203.5100,199.8000,202.1400,51343872
2025-04-14,211.4400,212.9400,201.1621,202.5200,101352911
2025-04-11,186.1000,199.5400,186.0600,198.1500,87435915
2025-04-10,189.0650,194.7799,183.0000,190.4200,121879981
2025-04-09,171.9500,200.6100,171.8900,198.8500,184395885
2025-04-08,186.7000,190.3350,169.2101,172.4200,120859491
2025-04-07,177.2000,194.1500,174.6200,181.4600,160466286
2025-04-04,193.8900,199.8800,187.3400,188.3800,125910913
2025-04-03,205.5400,207.4900,201.2500,203.1900,103419006
2025-04-02,221.3150,225.1900,221.0200,223.8900,35905904
2025-04-01,219.8050,223.6800,218.9000,223.1900,36412740
2025-03-31,217.0050,225.6200,216.2300,222.1300,65299321
2025-03-28,221.6700,223.8100,217.6800,217.9000,39818617
2025-03-27,221.3900,224.9900,220.5601,223.8500,37094774
2025-03-26,223.5100,225.0200,220.4700,221.5300,34532656
2025-03-25,220.7700,224.1000,220.0800,223.7500,34493583
2025-03-24,221.0000,221.4800,218.5800,220.7300,44299483
2025-03-21,211.5600,218.8400,211.2800,218.2700,94127768
2025-03-20,213.9900,217.4899,212.2200,214.1000,48862947
2025-03-19,214.2200,218.7600,213.7500,215.2400,54385391
2025-03-18,214.1600,215.1500,211.4900,212.6900,42432426
2025-03-17,213.3100,215.2200,209.9700,214.0000,48073426
2025-03-14,211.2500,213.9500,209.5800,213.4900,60107582
2025-03-13,215.9500,216.8394,208.4200,209.6800,61368330
